id,label,modularity_class,eigencentrality
newleftblogs.blogspot.com,newleftblogs.blogspot.com,0,0.6261056687239217
lashawnbarber.com,lashawnbarber.com,1,0.3899642610031996
gregpalast.com,gregpalast.com,0,0.16267415979830602
roxanne.typepad.com,roxanne.typepad.com,0,0.35232770006544883
interested-participant.blogspot.com,interested-participant.blogspot.com,1,0.10008662393729685
commonsenserunswild.typepad.com,commonsenserunswild.typepad.com,1,0.2761985409212256
laughingwolf.net,laughingwolf.net,1,0.1745333908144139
tomburka.com,tomburka.com,0,0.25269182022665965
cayankee.blogs.com,cayankee.blogs.com,1,0.34541655229696105
pejmanesque.com,pejmanesque.com,1,0.356353984708923
rightonred.net,rightonred.net,1,0.1452395545433099
one38.org,one38.org,0,0.2191815532238978
claycalhoun.com,claycalhoun.com,1,0.1212118050631894
acepilots.com/mt,acepilots.com/mt,1,0.16752996152075317
claudialong.com/blog,claudialong.com/blog,0,0.24408370137610436
nomoremister.blogspot.com,nomoremister.blogspot.com,0,0.5148365324811847
blogs.salon.com/0002874,blogs.salon.com/0002874,0,0.3775358649219042
robschumacher.blogspot.com,robschumacher.blogspot.com,0,0.266379185965674
notgeniuses.com,notgeniuses.com,0,0.4032936889595378
wizbangblog.com,wizbangblog.com,1,0.41746097713238395
victorhanson.com,victorhanson.com,1,0.09293805774239634
homespunbloggers.blogspot.com,homespunbloggers.blogspot.com,1,0.0500713449935971
politics.feedster.com,politics.feedster.com,1,0.1983225486152262
talkleft.com,talkleft.com,0,0.7258666951379359
home.earthlink.net/~fsrhine,home.earthlink.net/~fsrhine,0,0.22827049064266858
loadedmouth.com,loadedmouth.com,0,0.2295328705133026
archpundit.com,archpundit.com,0,0.4310988100991916
michaeltotten.com,michaeltotten.com,1,0.2926582390140684
freerepublic.com,freerepublic.com,1,0.14211447211127054
lt-smash.us,lt-smash.us,1,0.1777457157769056
nathannewman.org/log,nathannewman.org/log,0,0.5018921842338124
blog01.kintera.com/dnccblog,blog01.kintera.com/dnccblog,0,0.22180322488334786
outsidethebeltway.com,outsidethebeltway.com,1,0.4381076230064599
maruthecrankpot.blogspot.com,maruthecrankpot.blogspot.com,0,0.2943342249868146
americanfuture.typepad.com,americanfuture.typepad.com,1,0.16610729211173975
thepoliticalteen.net,thepoliticalteen.net,1,0.09027901817298878
mathewgross.com/blog,mathewgross.com/blog,0,0.2469215099460745
kausfiles.com,kausfiles.com,1,0.20737610583501737
reachm.com/amstreet,reachm.com/amstreet,0,0.6435236051256301
patterico.com,patterico.com,1,0.23899932393066733
nomayo.mu.nu,nomayo.mu.nu,1,0.1364320596615776
danieldrezner.com/blog,danieldrezner.com/blog,1,0.36506168269830697
brilliantatbreakfast.blogspot.com,brilliantatbreakfast.blogspot.com,0,0.3003684587736018
samizdata.net/blog,samizdata.net/blog,1,0.29989698136115267
bullmooseblog.com,bullmooseblog.com,0,0.14149046748463046
captainsquartersblog.com/mt,captainsquartersblog.com/mt,1,0.3225120848022341
madkane.com/notable.html,madkane.com/notable.html,0,0.7015252173377806
legendgames.net/myblog.asp,legendgames.net/myblog.asp,1,0.13938149712706055
cdharris.net,cdharris.net,1,0.13871113311761388
apologiesdemanded.blogspot.com,apologiesdemanded.blogspot.com,1,0.14287945493875123
vodkapundit.com,vodkapundit.com,1,0.49394932842896316
scha-den-freu-de.blogspot.com,scha-den-freu-de.blogspot.com,1,0.3210440703339166
celluloid-wisdom.com/pw/,celluloid-wisdom.com/pw/,1,0.16582451446828253
thetalkingdog.com,thetalkingdog.com,0,0.5313747528856289
dummocrats.com,dummocrats.com,1,0.23552221556127592
patrickruffini.com,patrickruffini.com,1,0.2151485973488076
thespoonsexperience.com,thespoonsexperience.com,1,0.14654872709853048
mypetjawa.mu.nu,mypetjawa.mu.nu,1,0.1842850048779391
thatliberalmedia.com,thatliberalmedia.com,1,0.10692106560064306
ibe.blogspot.com,ibe.blogspot.com,1,0.09903566801042042
blogodob.blogspot.com,blogodob.blogspot.com,1,0.1681620525188234
obsidianwings.blogs.com,obsidianwings.blogs.com,0,0.3826822573952543
nielsenhayden.com/electrolite,nielsenhayden.com/electrolite,0,0.6044625837572283
slublog.blogspot.com,slublog.blogspot.com,1,0.16068768372223166
theleftcoaster.com,theleftcoaster.com,0,0.571211391109064
